"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R5,R4,R2,R1,R6,R9,R11,R8,R10,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";11;"10K";;;
2;"J16,J1,J15,J13,J2,J4,J3,J9,J12,J11,J8,J14,J10,J7,J5,J6";"TerminalBlock_4Ucon_1x04_P3.50mm_Vertical";16;"Conn_01x04_Female";;;
3;"U2";"DIP-8_W7.62mm";1;"MAX485E";;;
4;"U1";"TO-220F-3_Horizontal_TabDown";1;"L7805";;;
5;"U6,U8,U4,U5,U7,U3";"DIP-16_W7.62mm";6;"74HC595";;;
6;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"100R";;;
7;"C3";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";1;"100u";;;
8;"J17";"TerminalBlock_4Ucon_1x02_P3.50mm_Vertical";1;"POWER";;;
9;"SW1";"DIP-20_W7.62mm";1;"SW_DIP_x10";;;
10;"J18";"TerminalBlock_4Ucon_1x03_P3.50mm_Vertical";1;"DMX IN";;;
11;"U9,U14,U13,U10,U12,U11";"DIP-18_W7.62mm_LongPads";6;"ULN2803A";;;
12;"J19";"TerminalBlock_4Ucon_1x03_P3.50mm_Vertical";1;"DMX OUT";;;
13;"C1";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";1;"0.33uF";;;
14;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
15;"C2";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";1;"0.1uF";;;
